1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
2015冰上雅姿盛典的活动口号是什么?,爱你爱我，浪漫满城
2015冰上雅姿盛典的主题是什么?,爱你爱我
2015冰上雅姿盛典2015冰上雅姿盛典主题是什么?,爱你爱我
2015冰上雅姿盛典双人滑是什么?,彭程/张昊隋文静/韩聪于小雨/金杨
2015冰上雅姿盛典国家体育总局冬季运动管理中心花样滑冰部部长杨东如是评价是什么?,冰上雅姿已经成为中国花样滑冰每年最重要的一场盛事，也是中国花样滑冰迷每年一度的节日
2015冰上雅姿盛典五年来，汇聚全球顶尖花滑运动员及艺术家，已成为亚洲最具影响力的活动之一。多少冰上雅姿盛典主题：爱你爱我，将于今年7月8日起依次在台北、北京、上海、深圳举行?,2015
2015冰上雅姿盛典冰上雅姿盛典是由中国花样滑冰传奇爱侣申雪赵宏博于多少年参与创立，是中国第一个世界级花样滑冰表演平台?,2010
2015冰上雅姿盛典赵宏博于多少年参与创立，是中国第一个世界级花样滑冰表演平台?,2010
2015冰上雅姿盛典爱你爱我，将于今年多少月8日起依次在台北、北京、上海、深圳举行?,7
2015年单板滑雪世锦赛”多少年出生的蔡雪桐，只比刘佳宇小一岁，在温哥华冬奥会后，刘佳宇因伤病远离赛场的两个赛季，蔡雪桐挑起了大梁?,1993
2015年单板滑雪世锦赛连续两个赛季的佳绩，让蔡雪桐准备大展拳脚之时，多少—2013赛季的首场比赛新西兰世界杯，她在滑行中不慎摔倒，右肩摔伤，之后缺席了所有的国际比赛，直到2013年3月的全国冠军赛上，她凭借着一个全国冠军，宣告了正式回归?,2012
2015年单板滑雪世锦赛于是，她在索契收获了第多少名，成为了进入决赛名次最好的中国女将?,6
2015年单板滑雪世锦赛带着这样的心态，蔡雪桐在决赛三趟滑行都特别出色，分别得到多少.25分、94.25分和89.25分，从第一趟滑行开始就完全确立了自己的领先优势?,90
2015年单板滑雪世锦赛去年多少月20日就前往美国进行训练，而在美国的训练，让蔡雪桐熟练掌握了转体900度的高难度动作，这也成为她本次赢得比赛的关键?,11
2015年国际滑联花样滑冰大奖赛的中文名是什么?,2015年国际滑联花样滑冰大奖赛
2015年国际滑联花样滑冰大奖赛的结束日期是什么?,42336
2015年国际滑联花样滑冰大奖赛他的小失误有什么?,两个，一个是后内点冰三周单跳的起跳疑似用刃错误，另外一个原定的三周接两周连跳第二跳只做了一周
2015年国际滑联花样滑冰大奖赛他还有什么?,两个跳跃落冰都手扶冰面
2015年国际滑联花样滑冰大奖赛开场他先完成了一个质量很高的后内结环四周单跳，并且有什么?,延迟转体
2015年国际滑联花样滑冰大奖赛随着本站比赛的结束，男单项目的大奖赛总决赛入围名单也随之产生，总共有几人入围,6
2015年国际滑联花样滑冰大奖赛今天羽生结弦的状态堪称巅峰，他成功完成了所有计划跳跃，包括什么?,包括了一个后内结环四周，两个后外点冰四周和两个三周半
三板滑雪大回转后来滑雪运动器材设计方面出现了革新，例如什么?,创造出了使用拐杖的三板滑雪（three-trackskiing）独腿运动员单脚穿一只滑雪板，再使用分别装配有小滑雪板的双拐，这样雪地上便留下了三条痕迹
三板滑雪大回转这一器材的革命导演了1948年2月奥地利多少名残疾人参加的第一次滑雪比赛?,17
三板滑雪大回转这一器材的革命导演了多少年2月奥地利17名残疾人参加的第一次滑雪比赛?,1948
上村爱子的中文名是什么?,上村爱子
上村爱子的别名是什么?,アイコ
上村爱子的民族是什么?,大和
上村爱子的出生日期是什么?,29198
上村爱子的体重是什么?,48kg
上村爱子的主要奖项是什么?,2006年都灵冬季奥运会第5名2010年温哥华冬季奥运会第四名2014年索契冬奥会第四名
上村爱子的外文名是什么?,うえむらあいこ，UemuraAiko
上村爱子的国籍是什么?,日本
上村爱子的出生地是什么?,日本兵库县伊丹市
上村爱子的身高是什么?,156cm
上村爱子的运动项目是什么?,自由式滑雪
上村爱子出生后不久，诊断出患有什么?,先天性心室间隔缺损
上村爱子长野冬奥会上获得了什么?,第七名
上村爱子2002年，被寄予夺牌希望的上村参加了盐湖城冬奥会，最终获得了什么?,第六名
上村爱子都灵冬奥会，挑战女子选手绝少尝试的3D（空中纵横双向回转）高难度空中技巧成功，获得了什么?,第五名
上村爱子自由式滑雪世界杯日本站比赛中以23分获得了什么?,女子雪上技巧的冠军
上村爱子赛后的采访中，虽然上村尽量表现出很开心的样子，还是没能忍住遗憾的泪水，略带自嘲地感叹是什么?,到底要怎样才能站上奥运会的领奖台呢？真是个谜呀
上村爱子赛后上村一脸迷惘表示是什么?,虽然使出了全力，但这次不能登上颁奖台感到遗憾......，更因此而流下眼泪
为什么上村爱子而流下眼泪?,因为赛后上村一脸迷惘表示：虽然使出了全力，但这次不能登上颁奖台感到遗憾......，更
为什么上村爱子她决心再次挑战奥运?,因为与曾是日本高山滑雪第一人的丈夫皆川贤太郎一起在突陡坡滑雪时被表扬真棒，
上村爱子1979年12月多少日出生于日本兵库县伊丹市?,9
"上村爱子为SPORTSBIZCO,.LTD签约选手。多少年获日本紫绶章?",2008
上村爱子泰迪熊多少里谷多英的表现?,2014
上村爱子自由式滑雪世界杯日本站比赛中以多少分获得女子雪上技巧的冠军?,23
上村爱子又一次未能实现目标，但决赛的多少次滑雪始终以攻势亮相?,3
上村爱子上村此番第多少次参加奥运会?,5
上村爱子身高多少CM，体重48KG?,156
上村爱子上村爱子(うえむらあいこ，UemuraAiko)，日本自由式滑雪雪上技巧选手。多少年12月9日出生于日本兵库县伊丹市?,1979
上村爱子白马村、东京都曾经就读的学校：白马村立北小学校、白马村立白马中学校、长野县立白马高校感情生活：多少年6月11日，上村爱子正式宣布与高山滑雪选手皆川贤太郎结婚，但是在在公众活动以及比赛都会继续以上村爱子的名义出现?,2009
上村爱子多少年，因父母事业变动，迁居至长野县北安云郡白马村，进入白马村立白马北小学，并在当地开始接触高山滑雪?,1986
上村爱子多少年，被寄予夺牌希望的上村参加了盐湖城冬奥会，最终获得第六名?,2002
上村爱子她赛前进行了从未有过的超过多少周的海外集训，希望打造滑几次都不会累的体质?,5
上村爱子综合第多少位（同年开始，排位采取单人、双人赛合计制?,9
上海市青少年冰球联赛的中文名称是什么?,上海市青少年冰球联赛
上海市青少年冰球联赛的赛事类型是什么?,青少年冰球比赛
上海市青少年冰球联赛的举办地点是什么?,松江大学生体育中心国际滑冰馆
上海市青少年冰球联赛的参赛俱乐部是什么?,5家
上海市青少年冰球联赛本届联赛是第五届上海市青少年冰球联赛，于2017年9月多少在松江大学生体育中心国际滑冰馆拉开帷幕?,24
上海市青少年冰球联赛来自全市5家冰球俱乐部的22支队伍，300余名青少年球员历经了6个月177场比赛的激烈角逐，分出U8、U10、U多少三个组别的胜负?,12
上海市青少年冰球联赛本届联赛是第五届上海市青少年冰球联赛，于多少年9月24在松江大学生体育中心国际滑冰馆拉开帷幕?,2017
上海市青少年冰球联赛多少年3月11日，2017-2018上海市青少年冰球联赛颁奖典礼在浦东新区通茂大酒店圆满落幕?,2018
上海市青少年冰球联赛来自全市多少家冰球俱乐部的22支队伍，300余名青少年球员历经了6个月177场比赛的激烈角逐，分出U8、U10、U12三个组别的胜负?,5
上海银七星室内滑雪场（原名北海道室内滑雪场）是什么?,由上海大顺北海道滑雪有限公司投资兴建的首家专业的室内滑雪场馆，其规模目前为亚洲第一
上海银七星室内滑雪场的面积是什么?,100，800平方米
上海银七星室内滑雪场的中文名是什么?,上海银七星室内滑雪场
上海银七星室内滑雪场的类型是什么?,室内滑雪场馆
上海银七星室内滑雪场的原名是什么?,北海道室内滑雪场
上海银七星室内滑雪场上海银七星室内滑雪场(原名北海道室内滑雪场)是由上海大顺北海道滑雪有什么?,限公司投资兴建的首家专业的室内滑雪场馆，其规模目前为亚洲第一
上海银七星室内滑雪场上海银七星室内滑雪场（原名北海道室内滑雪场）是由上海大顺北海道滑雪有什么?,限公司投资兴建的首家专业的室内滑雪场馆，其规模目前为亚洲第一
上海银七星室内滑雪场目前，雪场内配置了教练近60位，器械3000多件，服装近6000套，可以提供游客进行ski、snowboard、snowboat等项目的游玩，另有什么?,部分snowbike尚未投入使用
上海银七星室内滑雪场脚痒，先听门口的滑雪教练讲一下基本动作，10分钟后平坡上滑应该没问题，接着就上初级滑道，雪场自上而下共有什么?,3级坡度不同的滑道，反正怎么摔都摔不死，1个小时下来，滑中级滑道应该没问题
上海银七星室内滑雪场沪杭高速是什么?,七莘路道口下，向北（左转）约3公里车程
上海银七星室内滑雪场沪宁高速是什么?,转至A20（外环虹桥机场方向），行至顾戴路口向西（右转至七莘路）
上海银七星室内滑雪场滑雪场总占地面积100，800平方米，一期项目建筑面积52，多少平方米?,0
上海银七星室内滑雪场沪杭高速：七莘路道口下，向北（左转）约多少公里车程?,3
上海银七星室内滑雪场滑雪场总占地面积多少，800平方米，一期项目建筑面积52，000平方米?,100
上海银七星室内滑雪场整个雪场面积为多少多平方米，可供近千名游客滑雪?,25000
上海银七星室内滑雪场脚痒，先听门口的滑雪教练讲一下基本动作，多少分钟后平坡上滑应该没问题，接着就上初级滑道，雪场自上而下共有3级坡度不同的滑道，反正怎么摔都摔不死，1个小时下来，滑中级滑道应该没问题?,10
上海银七星室内滑雪场上海市内：A多少外环，顾戴路口下，向西行至七莘路?,20
上海银七星室内滑雪场沪宁高速：转至A多少（外环虹桥机场方向），行至顾戴路口向西（右转至七莘路）?,20
上海银七星室内滑雪场现在银七星滑雪场在多少年对外宣布维修，但是不见动工迹象?,2011
上海青少年冰球A队的中文名称是什么?,上海青少年冰球A队
上海青少年冰球A队的所属地区是什么?,上海
上海青少年冰球A队的运动项目是什么?,冰球
上海青少年冰球A队2018年10月5日，上海青少年冰球A队获得了什么?,2018全国青少年（中小学生）U系列冰球锦标赛北京赛区（U8组）冠军
上海青少年冰球A队上海青少年冰球A队，上海冰球队伍。多少年10月5日，上海青少年冰球A队获得2018全国青少年(中小学生)U系列冰球锦标赛北京赛区(U8组)冠军?,2018
上海青少年冰球A队多少年10月5日，上海青少年冰球A队获得2018全国青少年（中小学生）U系列冰球锦标赛北京赛区（U8组）冠军?,2018
2015年上海世界花样滑冰锦标赛于2015年3月23日至3月29日在中国上海市举行，比赛场馆是什么?,上海东方体育中心
世界花样滑冰锦标赛的中文名是什么?,2015年上海世界花样滑冰锦标赛
世界花样滑冰锦标赛的举办时间是什么?,2015年3月23日~3月29日
世界花样滑冰锦标赛的比赛场馆是什么?,上海东方体育中心
世界花样滑冰锦标赛的外文名是什么?,2015WorldFigureSkatingChampionships
世界花样滑冰锦标赛的比赛地点是什么?,中国上海
世界花样滑冰锦标赛已经确认有什么?,来自40个国家和地区的167名运动员来沪参赛，包括男子单人滑30人，女子单人滑35人，双人滑19对，冰舞32对选手
世界花样滑冰锦标赛上海东方体育中心，这是中国第一次举办世界花样滑冰锦标赛。有什么?,来自40个国家和地区的167名运动员参赛
世界花样滑冰锦标赛佟健领衔的新老结合的团队参加所有什么?,4个项目的角逐
世界花样滑冰锦标赛作为世锦赛中国军团最有希望斩获奖牌的项目，有什么?,3对中国组合参与双人滑的角逐：庞清/佟健在这里上演他们的告别演出，并力争冲击第三个世锦赛冠军；彭程/张昊和隋文静/韩聪也表示希望在家门口奉献自己的最佳表现
世界花样滑冰锦标赛已经确认有来自40个国家和地区的167名运动员来沪参赛，包括什么?,包括了男子单人滑30人，女子单人滑35人，双人滑19对，冰舞32对选手
世界花样滑冰锦标赛运动员来沪参赛，包括什么?,包括了男子单人滑30人，女子单人滑35人，双人滑19对，冰舞32对选手
世界花样滑冰锦标赛作为世锦赛中国军团最有希望斩获奖牌的项目，有3对中国组合参与双人滑的角逐是什么?,庞清/佟健在这里上演他们的告别演出，并力争冲击第三个世锦赛冠军；彭程/张昊和隋文静/韩聪也表示希望在家门口奉献自己的最佳表现
世界花样滑冰锦标赛2015年上海世界花样滑冰锦标赛于2015年3月23日至3月29日在中国上海市举行，比赛场馆是“海上皇冠”——上海东方体育中心，是什么?,中国第一次举办世界花样滑冰锦标赛
